 SC19 VRS SC29, SC19 VRS SC39 , SC19 VRS SC49,SC19 VRS SC59, SC29 VRS SC39, SC29 VRS SC49, SC29 VRS SC59, SC39 VRS SC49, SC39 VRS SC59, SC49 VRS SC59
3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,3.0000
1.0000,3.0000,3.0000,1.0000,9.0000,3.0000,5.0000,1.0000,3.0000,9.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.1111,0.1111,0.1111,0.1111,1.0000,1.0000,3.0000,1.0000,3.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,5.0000,5.0000,3.0000,3.0000,3.0000,7.0000,7.0000
5.0000,1.0000,1.0000,5.0000,1.0000,0.2000,5.0000,1.0000,5.0000,5.0000
1.0000,3.0000,5.0000,5.0000,3.0000,1.0000,3.0000,5.0000,5.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,5.0000,7.0000,1.0000,5.0000,3.0000,7.0000,5.0000,3.0000
0.1111,0.1429,0.1111,0.2000,0.1429,0.2000,0.2000,7.0000,7.0000,7.0000
5.0000,5.0000,5.0000,5.0000,3.0000,5.0000,7.0000,5.0000,3.0000,5.0000
5.0000,5.0000,1.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,3.0000
1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,5.0000,3.0000,1.0000,1.0000,3.0000,1.0000,3.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,0.1111,1.0000,0.1111,1.0000,9.0000,9.0000,9.0000,1.0000,0.1111
3.0000,5.0000,5.0000,5.0000,5.0000,5.0000,3.0000,3.0000,5.0000,5.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,1.0000,1.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,1.0000,3.0000,1.0000,3.0000
1.0000,1.0000,1.0000,0.3333,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.1111,0.1429,0.1429,0.1429,0.1111,0.1111,0.1111,0.1111,0.1429,0.1111
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,5.0000,1.0000,5.0000,5.0000
