SC11 VRS SC21, SC11 VRS SC31, SC11 VRS SC41, SC11 VRS SC51,SC21 VRS SC31,SC21 VRS SC41,SC21 VRS SC51, SC31 VRS SC41, SC31 VRS SC51, SC41 VRS SC51
1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,3.0000,1.0000,1.0000,1.0000
5.0000,5.0000,1.0000,1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000
1.0000,3.0000,1.0000,1.0000,3.0000,3.0000,7.0000,9.0000,7.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
9.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,5.0000,1.0000,3.0000,5.0000,3.0000,1.0000,3.0000,5.0000,5.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,1.0000,1.0000,3.0000,1.0000,3.0000,3.0000,3.0000,1.0000,3.0000
1.0000,5.0000,5.0000,5.0000,1.0000,1.0000,5.0000,0.2000,1.0000,1.0000
3.0000,3.0000,3.0000,5.0000,7.0000,9.0000,0.3333,0.2000,3.0000,3.0000
1.0000,3.0000,5.0000,3.0000,7.0000,7.0000,1.0000,7.0000,1.0000,1.0000
3.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000
1.0000,1.0000,1.0000,1.0000,0.1429,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
5.0000,5.0000,5.0000,1.0000,1.0000,5.0000,5.0000,5.0000,5.0000,5.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
9.0000,1.0000,0.1111,0.1429,9.0000,0.1111,0.3333,1.0000,9.0000,9.0000
1.0000,3.0000,1.0000,1.0000,3.0000,3.0000,1.0000,1.0000,1.0000,1.0000
1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,1.0000,1.0000
1.0000,3.0000,3.0000,3.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000
5.0000,3.0000,5.0000,5.0000,3.0000,5.0000,1.0000,5.0000,1.0000,3.0000
1.0000,1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,3.0000,3.0000,3.0000,1.0000,3.0000,3.0000,3.0000,3.0000,5.0000
1.0000,3.0000,1.0000,1.0000,3.0000,1.0000,1.0000,0.3333,0.3333,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1429,0.1429,0.1429,0.1429
1.0000,3.0000,1.0000,3.0000,3.0000,1.0000,1.0000,1.0000,1.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000
