SC12 VRS SC22,SC12 VRS SC32,SC22 VRS SC32
1.0000,3.0000,1.0000
1.0000,1.0000,3.0000
3.0000,1.0000,3.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
9.0000,5.0000,0.1111
3.0000,1.0000,5.0000
1.0000,1.0000,1.0000
3.0000,1.0000,3.0000
1.0000,0.2000,1.0000
3.0000,3.0000,5.0000
3.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
5.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,3.0000,3.0000
1.0000,1.0000,1.0000
3.0000,1.0000,1.0000
3.0000,3.0000,3.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
5.0000,3.0000,5.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
0.1111,0.1429,0.1111
1.0000,0.3333,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
